step,name,enabled,type,args,continue_on_error,description
41,Health check — single device HTML,no,health,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --checks network_cli_parser/checks/example_health_checks.yaml --output reports/{date}/N9K-CAMA-WAN-1_health.html,no,Write a self-contained HTML report for one device.
42,Health check — with device-specific overrides,no,health,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --checks network_cli_parser/checks/example_health_checks.yaml --device-checks network_cli_parser/checks/devices/N9K-CAMA-WAN-1.yaml --output reports/{date}/N9K-CAMA-WAN-1_health.html,no,Merge default checks with device-specific overrides. Device check wins on name clash.
43,Health check — verify-only CI mode,no,health,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --checks network_cli_parser/checks/example_health_checks.yaml --verify-only,no,Run all checks and print results but write no output files. Exit code still reflects failures. Use in CI.
50,Health all — HTML combined report,yes,health-all,--dir network_cli_parser/data/json/{date}/ --default-checks network_cli_parser/checks/example_health_checks.yaml --device-checks-dir network_cli_parser/checks/devices/ --output-dir reports/{date}/health/ --format html,no,Evaluate checks on every device in the snapshot dir. Writes one health_report.html with a check x device matrix.
51,Health all — JSON output per device,no,health-all,--dir network_cli_parser/data/json/{date}/ --default-checks network_cli_parser/checks/example_health_checks.yaml --output-dir reports/{date}/health/ --format json,no,Write per-device health JSON files instead of HTML. Useful for downstream processing or CI artefacts.
52,Health all — HTML + JSON,no,health-all,--dir network_cli_parser/data/json/{date}/ --default-checks network_cli_parser/checks/example_health_checks.yaml --output-dir reports/{date}/health/ --format both,no,Write both the combined HTML report and per-device JSON files.
53,Health all — recent snapshots only,no,health-all,--dir network_cli_parser/data/json/ --default-checks network_cli_parser/checks/example_health_checks.yaml --output-dir reports/{date}/health/ --since-days 2,no,Skip snapshots older than 2 days. Avoids stale data polluting the combined report.
54,Health all — verify-only,no,health-all,--dir network_cli_parser/data/json/{date}/ --default-checks network_cli_parser/checks/example_health_checks.yaml --verify-only,no,Run all checks across all devices; print results; write nothing. CI-safe read-only mode.
60,Health diff — compare two runs,no,health-diff,--before reports/{yesterday}/health/N9K-CAMA-WAN-1_health.json --after reports/{today}/health/N9K-CAMA-WAN-1_health.json --output reports/{today}/N9K-CAMA-WAN-1_diff.html,yes,Highlight regressions (pass→fail) and fixes (fail→pass) between two saved health report JSONs. Exit 1 on regressions.
61,Health diff — stdout JSON,no,health-diff,--before reports/{yesterday}/health/N9K-CAMA-WAN-1_health.json --after reports/{today}/health/N9K-CAMA-WAN-1_health.json,yes,Print the diff as JSON to stdout without writing a file.
70,Coverage analysis — with checks,yes,coverage,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --checks network_cli_parser/checks/example_health_checks.yaml,yes,Show which parsed commands have no health check (unchecked) and which checks reference commands not in the snapshot.
71,Coverage analysis — no checks (list parsed),no,coverage,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json,yes,Without --checks: just list all parsed commands and their status. Useful as a quick inventory of what was collected.
72,Coverage analysis — save to JSON,no,coverage,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --checks network_cli_parser/checks/example_health_checks.yaml --output reports/{date}/coverage.json,yes,Save coverage results as machine-readable JSON for tracking drift over time.
80,Delta — single device HTML,no,delta,--before network_cli_parser/data/json/{yesterday}/N9K-CAMA-WAN-1_{yesterday}.json --after network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --output reports/{date}/N9K-CAMA-WAN-1_delta.html,yes,Field-level diff between yesterday's and today's snapshot for one device.
81,Delta — all devices HTML + index,no,delta-all,--before-dir network_cli_parser/data/json/{yesterday}/ --after-dir network_cli_parser/data/json/{date}/ --output-dir reports/{date}/delta/ --format html,yes,Compare all matched devices across two snapshot directories. Writes per-device delta HTML files and an index.html.
82,Delta — all devices both formats,no,delta-all,--before-dir network_cli_parser/data/json/{yesterday}/ --after-dir network_cli_parser/data/json/{date}/ --output-dir reports/{date}/delta/ --format both,yes,Write both HTML and JSON delta files per device.
90,Baseline — generate starter checks,no,baseline,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --output network_cli_parser/checks/baseline_N9K-CAMA-WAN-1.yaml,yes,Auto-generate a check YAML from current snapshot values. Review and delete dynamic fields (counters/uptime) before promoting to production.
91,Baseline — print to stdout,no,baseline,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json,yes,Preview the generated baseline YAML without saving it.
